filename,fwhm,threshold,center_ra,center_dec,field_width,field_height,pixel_scale,orientation,parity,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux_detected,mag,ra,dec,ra_hms,dec_dms,has_wcs,has_astrometry,aperture_sum,bkg_flux,flux,flux_err,snr,mag_calibrated,gaia_source_id,gaia_ra,gaia_dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,parallax,pmra,pmdec,simbad_main_id,otype,sp_type,rv_value,distance_result
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,223,604.02427,935.82419,0.41323473,0.13079709,-0.62915612,49,0,4151,3.2274358,-1.272144,83.790286,-5.4125438,5:35:09.67,-5:24:45.2,True,True,2961561.9,2749182.6,212379.31,1802.1796,117.84581,-13.317781,,,,,,,,,,,,,,,
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,224,483.59136,933.88872,0.45025976,0.38434299,0.23518342,49,0,3297,2.191867,-0.8520355,83.84967,-5.3594052,5:35:23.92,-5:21:33.9,True,True,2490330.1,935611.85,1554718.2,2142.4729,725.6653,-15.479129,3017365609518085248,83.850439,-5.3590855,16.425261,14.522846,13.402072,1.1207743,2.2195188,1.7483552,-0.14898999,[H97b] 748b,V*,,,0.00047435021
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,225,1068.915,938.5215,0.45264913,-0.34275963,-0.24664394,49,0,4047,26.640558,-3.5638583,83.558863,-5.6152441,5:34:14.13,-5:36:54.9,True,True,149153.93,-62646.499,211800.43,1802.019,117.53507,-13.314817,3017260709226477952,83.559011,-5.6150534,10.074726,10.376293,9.5913019,0.78499126,2.5828732,0.66060384,-0.28210075,BD-05  1299,Or*,,,0.00023943812
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,226,565.51916,939.86702,0.44311111,-0.16883536,0.90365463,49,0,19137,21.121185,-3.3117957,83.811304,-5.3978765,5:35:14.71,-5:23:52.4,True,True,16784142,8731469.3,8052672.4,3329.8865,2418.3023,-17.26485,3017363960242772608,83.812246,-5.3983287,17.89076,12.425354,11.635036,0.79031754,,,,[OW94] 146-351,?,,,0.00059331429
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,227,543.69542,939.01591,0.41854411,0.49997806,0.096255092,49,0,60901,208.5048,-5.7977901,83.821848,-5.3879981,5:35:17.24,-5:23:16.8,True,True,20816073,9651192.5,11164880,3768.3354,2962.8148,-17.619635,3017364063330465152,83.821914,-5.3879346,6.5831623,6.6393189,6.3748116,0.26450729,2.2819574,1.8222229,0.39285147,NAME Ney-Allen Nebula,ISM,,,0.00068018349
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,228,295.54278,943.75494,0.48399114,0.030684076,0.055472118,49,0,918,7.2092258,-2.1447216,83.947985,-5.2828443,5:35:47.52,-5:16:58.2,True,True,32878.494,19974.246,12904.248,1745.96,7.3909187,-10.276832,3017372206587342208,83.947928,-5.2827773,12.168905,12.735015,11.431716,1.303299,2.3423638,-2.9878029,1.460964,[KPM2006] 201,*,,,0.0010192616
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,229,485.91081,940.82881,0.44953631,-0.67738425,-0.075101536,49,0,2923,3.8552942,-1.4651438,83.851533,-5.3638669,5:35:24.37,-5:21:49.9,True,True,2106373.4,965119.25,1141254.1,2043.704,558.42437,-15.143456,,,,,,,,,,,2MASS J05352449-0521500,*,,,0.00052547307
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,230,1055.6166,945.24259,0.47177764,-0.34574162,-0.33922403,49,0,1507,10.147305,-2.5158768,83.568447,-5.6128311,5:34:16.43,-5:36:46.2,True,True,111154.93,-75357.383,186512.31,1794.9886,103.90724,-13.176769,3017260709226477056,83.568587,-5.6126804,11.127182,11.550327,10.52748,1.0228472,2.578811,0.66001862,-0.31745322,V* V1044 Ori,Or*,,,0.00020470145
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,231,71.329863,946.66031,0.49992941,0.43263259,0.29955018,49,0,150,1.4893791,-0.43251313,84.061309,-5.1871358,5:36:14.71,-5:11:13.7,True,True,-11015.847,-14526.724,3510.8779,1743.2679,2.0139635,-8.8635393,3017374543049537024,84.061328,-5.1871331,14.016333,14.853199,13.109587,1.7436123,2.0877458,3.8099118,-5.8233276,Brun 970,*,,,0.0012796045
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,232,513.6098,944.87549,0.42027548,0.40361636,0.59985301,49,0,3624,6.3924429,-2.0141671,83.839445,-5.3778827,5:35:21.47,-5:22:40.4,True,True,2564513.4,5559195.9,-2994682.4,201.96409,-14827.796,,,,,,,,,,,,[L2024] ONC J083.83862-05.37719,LM*,,,0.0010600823
